id,name,category,city,website,address
11402,"The Roof at Superior Ingredients",nightclub,"New York",https://www.si-bk.com/,"74 Wythe Ave, Brooklyn, NY 11249"
11686,"The Saint NYC",nightclub,"New York",http://www.saintny.com/,"136 2nd Ave, New York, NY 10003"
11305,"The Sultan Room",nightclub,"New York",http://thesultanroom.com/,"234 Starr St, Brooklyn, NY 11237"
11688,"The Vino Theater",nightclub,"New York",http://thevinotheater.com/,"274 Morgan Ave Suite 201, Brooklyn, NY 11211"
11689,"The trendy eatery",nightclub,"New York",http://www.beanyc.com/,"403 W 43rd St, New York, NY 10036"
11691,TikiTabu,nightclub,"New York",https://www.tikichick.com/,"517 Amsterdam Ave, New York, NY 10024"
11403,"Times Square",nightclub,"New York",https://www.timessquarenyc.org/,"Manhattan, NY 10036"
11693,"Tito Murphy's",live_music,"New York",http://www.addictivenyc.com/,"19 W 46th St, New York, NY 10036"
11281,"Treadwell Park",nightclub,"New York",https://treadwellpark.com/,"1125 1st Ave, New York, NY 10065"
11404,Unveiled,nightclub,"New York",http://unveilednewyork.com/,"94 N 13th St, Brooklyn, NY 11249"
11697,"Van Diemens",nightclub,"New York",https://www.thedickensnyc.com/,"783 8th Ave, New York, NY 10036"
11698,Vandal,nightclub,"New York",https://taogroup.com/venues/vandal-new-york/,"199 Bowery, New York, NY 10002"
11333,"Various Venues",nightclub,"New York",http://www.venuesnyc.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button,"27 E 21st St 6 FLOOR, New York, NY 10010"
11699,"Vault Lounge",nightclub,"New York",https://bellagio.mgmresorts.com/en/nightlife/the-vault.html,"3600 S Las Vegas Blvd, Las Vegas, NV 89109"
11701,"Versa Rooftop",nightclub,"New York",http://versanyc.com/,"218 W 35th St, New York, NY 10001"
11313,"Virgin Hotels NYC",nightclub,"New York",https://virginhotels.com/nyc/,"1227 Broadway, New York, NY 10001"
11702,Virgo,nightclub,"New York",http://virgonewyork.com/,"324 Grand St, New York, NY 10002"
11703,"Viva Toro Nightclub",nightclub,"New York",http://www.vivatoro.com/,"987 Grand St, Brooklyn, NY 11211"
11704,"Voted Best Ball Drop Views",nightclub,"New York",https://theknickerbocker.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp,"6 Times Sq, New York, NY 10036"
11705,"Vshow Nightclub",nightclub,"New York",https://www.vshow.bar/,"31-01 Downing St 2nd Floor, Queens, NY 11354"
11706,"Walnut Bar and Grill",nightclub,"New York",http://wexford.eatwalnut.com/,"12599 Perry Hwy, Wexford, PA 15090"
11707,"Webster Hall",nightclub,"New York",https://www.websterhall.com/,"125 E 11th St, New York, NY 10003"
11708,"White Horse Tavern",nightclub,"New York",https://www.whitehorsetavern1880.com/,"567 Hudson St, New York, NY 10014"
11406,"White Horse Tavern NYC",nightclub,"New York",https://www.whitehorsetavern1880.com/,"567 Hudson St, New York, NY 10014"
11335,Xanadu,nightclub,"New York",https://xanadu.nyc/,"262 Starr St, Brooklyn, NY 11237"
11712,"an NYC staple among A",nightclub,"New York",https://www.eataly.com/us_en/stores/nyc-flatiron,"200 5th Ave, New York, NY 10010"
11713,"and Marquee",nightclub,"New York",http://www.marqueeohio.com/,
11714,"and NYE",nightclub,"New York",http://timessquarenewyears.com/,"450 W 42nd St #24a, New York, NY 10036"
11407,"and nightclub favored by NYC",nightclub,"New York",http://outerheaven.nyc/,"191 Chrystie St, New York, NY 10002"
11408,"chaos and opt for a more intimate venue",live_music,"New York",https://littleowleventsnyc.com/,"55 Grove St, New York, NY 10014"
11717,"elegant Park Avenue Tavern",nightclub,"New York",https://parkavenuetavern.com/nyc/,"99 Park Ave, New York, NY 10016"
11718,"for NYC events",nightclub,"New York",http://www.newyorkevents.co/,"450 Lexington Ave A - 468, New York, NY 10163"
11719,"for an equally vibrant crowd",nightclub,"New York",http://www.dnd-nyc.com/,"285 W 12th St, New York, NY 10014"
11720,"g Lounge",nightclub,"New York",https://gloungechelsea.com/,"225 W 19th St, New York, NY 10011"
11410,"house DJ",live_music,"New York",https://www.rthgroup.com/,"26601 Richmond Rd, Bedford Heights, OH 44146"
11411,"in the back room",live_music,"New York",http://www.backroomnyc.com/,"102 Norfolk St, New York, NY 10002"
11722,"in the heart of Midtown NYC",live_music,"New York",http://heartveinnyc.com/,"727 6th Ave, New York, NY 10010"
11723,"infused with timeless character",live_music,"New York",https://www.infusedexotics.com/,"1130 Nostrand Ave, Brooklyn, NY 11225"
11724,"into a smoldering affair",live_music,"New York",http://www.toomuchawesomeness.com/,"1305 W 80th St Suite #225, Cleveland, OH 44102"
11725,"marries state",nightclub,"New York",http://www.cityclerk.nyc.gov/html/marriage/marriage_bureau.shtml,"141 Worth St, New York, NY 10007"
11727,"on the night of",nightclub,"New York",https://www.newyorkencounter.org/,"599 Lexington Ave, New York, NY 10022"
11413,"sought after by locals and tourists alike",nightclub,"New York",http://www.likealocaltours.com/,"169 Madison Ave, New York, NY 10016"
11729,that,nightclub,"New York",http://nypienashville.com/,"305 Indian Lake Blvd, Hendersonville, TN 37075"
11730,"this exclusive subterranean nightclub",nightclub,"New York",https://m.facebook.com/queens.undergroundlounge/,"104-09 123rd St, South Richmond Hill, NY 11419"
11731,"welcomes you with its own unique vibe",live_music,"New York",http://www.highvibe.com/,"138 E 3rd St, New York, NY 10009"
11732,"with an intimate feel",nightclub,"New York",https://www.bellanita-intimate.com/,"43 W 33rd St, New York, NY 10001"
10886,"1500 Lounge",club,Philadelphia,"",
10953,"5th Street Lounge",club,Philadelphia,https://m.facebook.com/fifthstreetlounge/,
11122,Abyssinia,restaurant,Philadelphia,http://www.abyssiniabarandrestaurant.com/,
11119,"Aku's Kitchen",restaurant,Philadelphia,http://akuskitchen.com/,
10942,"Alamodak Restaurant and Hookah bar",restaurant,Philadelphia,https://www.alamodakrestauranthookahbar.com/?utm_source=gbp,
11275,"Alaska King Crab House",restaurant,Philadelphia,"",
10917,Almanac,club,Philadelphia,http://almanacphilly.com/,
11121,"Almaz Cafe",restaurant,Philadelphia,http://almazcafes.com/,
11171,"Alyan's Middle Eastern & Mediterranean Restaurant",restaurant,Philadelphia,"",
11125,"Amsale Cafe",restaurant,Philadelphia,http://www.amsalecafe.com/,
10909,"Andra Hem",club,Philadelphia,http://www.andrahem.com/,
11180,"Apricot Stone BYOB",restaurant,Philadelphia,http://www.apricotstonephilly.com/,
11100,"Biggs jamaican restaurant",restaurant,Philadelphia,"",
