id,name,category,website,city,address
11082,"Thomasena's Restaurant and Catering Hall",restaurant,"",Philadelphia,
11083,"Samaiyah B. Cooking",restaurant,"",Philadelphia,
11084,"From the Kitchen of LindaLicious, LLC",restaurant,"",Philadelphia,
11085,"Quality Taste Jamaican Restaurant & Jerk Hut",restaurant,https://qualitytastejamaican.cfd/,Philadelphia,
11086,"Caribbean Feast Cuisine",restaurant,https://caribbeanfeastrestaurant.com/,Philadelphia,
11087,"48th Street Grille",restaurant,http://www.48thstreetgrille.com/,Philadelphia,
11088,"Jamaican D's Kitchen and Catering",restaurant,https://www.instagram.com/jamaican_ds?igsh=MWgydnd6c21nZ3pyaA==,Philadelphia,
11089,"Irie Entree",restaurant,http://www.irieentree.com/,Philadelphia,
11090,"Sunday Best",restaurant,"",Philadelphia,
11091,"Little Delicious",restaurant,"",Philadelphia,
11092,"Ron's Caribbean Cafe",restaurant,http://phillyrons.com/,Philadelphia,
11093,"Ron's Caribbean Cuisine",restaurant,https://www.phillyrons.com/,Philadelphia,
11094,"Ocho Rios Parrilla",restaurant,https://ochoriosparilla1710.com/,Philadelphia,
11095,"The Lighthouse Jamaican Restaurant",restaurant,"",Philadelphia,
11096,"K & J Caribbean American Diner",restaurant,http://kjcaribbeanamericandiner.com/,Philadelphia,
11097,"Georgiana's Caribbean Cuisine",restaurant,"",Philadelphia,
11098,"Reggae Reggae Vibes",restaurant,http://www.reggaereggaevibes.com/,Philadelphia,
11099,"SHANAS CARIBBEAN CAFE",restaurant,https://shanascaribbeancafe.com/,Philadelphia,
11100,"Biggs jamaican restaurant",restaurant,"",Philadelphia,
11101,"Top Taste",restaurant,https://top-taste.shop/,Philadelphia,
11102,"Tierra Colombiana Restaurant",restaurant,http://tierracolombianarestaurant.com/,Philadelphia,
11103,"Le Mandingue African Restaurant",restaurant,https://www.lemandingue.com/,Philadelphia,
11104,"Kilimandjaro restaurant",restaurant,"",Philadelphia,
11105,"SUYA SUYA West African Grill",restaurant,http://www.suyasuya.co/,Philadelphia,
11106,"Chateau Rouge",restaurant,https://chateaurougephilly.com/,Philadelphia,
11107,"Eatwell Philly - African Restaurant and Lounge",restaurant,http://www.eatwellphilly.com/,Philadelphia,
11108,"African Small Pot",restaurant,https://africansmallpot1.com/,Philadelphia,
11109,"The Saints Restaurant and Lounge",restaurant,http://www.thesaintsphl.com/,Philadelphia,
11110,"Sahara Restaurant",restaurant,http://ordersahararestaurant.com/,Philadelphia,
11111,"TOUBA African Restaurant",restaurant,https://usamapsdet.top/details/touba-african-restaurant-ChIJpbn,Philadelphia,
11112,"Soul of Africa Restaurant LLC",restaurant,https://soulofafricarestaurant.com/?utm_source=google,Philadelphia,
11113,"Emma’s Liberian Kitchen",restaurant,https://emmaliberiankitchen.com/,Philadelphia,
11114,"New Era Cuisine",restaurant,https://food.orders.co/1vxelaie?y_source=1_MjAxNTA3MjY1Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Philadelphia,
11115,"Ecowas African Restaurant",restaurant,"",Philadelphia,
11116,"The Motherland Cuisine",restaurant,http://www.motherlandrestaurant.com/,Philadelphia,
